model1,averagetime1,model2,averagetime2,model3,averagetime3
resnet50,0.019041206,resnet152,0.037826761,densenet201,0.047499854
resnet50,0.01852008,vgg11,0.01148324,vgg11,0.011338022
resnet50,0.017852932,vgg11,0.010843569,vgg16,0.011321517
resnet50,0.018430988,vgg11,0.011363018,vgg19,0.012113832
resnet50,0.018590336,vgg11,0.0113408,densenet121,0.03208508
resnet50,0.018295472,vgg11,0.011543974,densenet169,0.040690898
resnet50,0.0187408,vgg11,0.011385425,densenet201,0.047736925
resnet50,0.018540403,vgg16,0.011979375,vgg16,0.011961041
resnet50,0.018584862,vgg16,0.012043818,vgg19,0.012206268
resnet50,0.018462934,vgg16,0.011965632,densenet121,0.032148811
resnet50,0.019100758,vgg16,0.011977484,densenet169,0.040841935
resnet50,0.017802506,vgg16,0.011382269,densenet201,0.047040132
resnet50,0.017565926,vgg19,0.011955038,vgg19,0.011719463
resnet50,0.018460588,vgg19,0.012201735,densenet121,0.032973062
resnet50,0.018596659,vgg19,0.012215594,densenet169,0.041121128
resnet50,0.01841811,vgg19,0.012132628,densenet201,0.047033441
resnet50,0.018816232,densenet121,0.032163883,densenet121,0.031746847
resnet50,0.018690843,densenet121,0.031766657,densenet169,0.039544487
resnet50,0.018762756,densenet121,0.032363968,densenet201,0.047630949
resnet50,0.018885697,densenet169,0.041192674,densenet169,0.040626815
resnet50,0.018545011,densenet169,0.041494999,densenet201,0.046346163
resnet50,0.01875622,densenet201,0.047168119,densenet201,0.046882806
resnet152,0.035464722,resnet152,0.035767488,resnet152,0.035400173
resnet152,0.035528768,resnet152,0.035521353,vgg11,0.011367503
resnet152,0.034680206,resnet152,0.03487716,vgg16,0.011533063
resnet152,0.034516641,resnet152,0.034869569,vgg19,0.011708519
resnet152,0.036640173,resnet152,0.035655927,densenet121,0.031808828
resnet152,0.034154554,resnet152,0.033947128,densenet169,0.041118507
resnet152,0.035884787,resnet152,0.035782476,densenet201,0.045494732
resnet152,0.034695707,vgg11,0.011022499,vgg11,0.011018397
resnet152,0.0349317,vgg11,0.010873105,vgg16,0.011419045
resnet152,0.034565723,vgg11,0.010950657,vgg19,0.011280493
resnet152,0.032222392,vgg11,0.010990793,densenet121,0.030166731
resnet152,0.03239326,vgg11,0.010379807,densenet169,0.040702485
resnet152,0.03418522,vgg11,0.011030588,densenet201,0.046111554
resnet152,0.035628184,vgg16,0.011507615,vgg16,0.011501494
resnet152,0.041629072,vgg16,0.011793836,vgg19,0.012294413
resnet152,0.035949656,vgg16,0.011549575,densenet121,0.031058698
resnet152,0.035029388,vgg16,0.011521181,densenet169,0.040514306
resnet152,0.03456267,vgg16,0.011538315,densenet201,0.046174439
resnet152,0.043115538,vgg19,0.012309599,vgg19,0.012293204
resnet152,0.033670083,vgg19,0.011807709,densenet121,0.030680531
resnet152,0.034842839,vgg19,0.011832792,densenet169,0.039734523
